Priority,Score,State,Business Name,DBA,Segment,City,Address,Zip,Website,Contact Name,Email,Phone,Outreach Status,Notes,Last Contacted,Next Step
High,4,NY,Native Haze Cannabis Co,,Independent,Macedon,"1503 Canandaigua Rd, Suite 3B & C",14502,https://www.nativehaze.com,,,,Not Started,,,
High,4,NY,P. Nuggs,,Independent,Malone,236 Meehan Rd,12953,https://pnuggs.com,,,,Not Started,,,
High,4,NY,Just Breathe Syracuse,,Independent,Manlius,185 W Seneca St,13104,https://dutchie.com/dispensary/just-breathe-syracuse,,,,Not Started,,,
High,4,NY,Lively Harvest (Microbusiness),,Independent,Margaretville,75 Bridge Street,12455,https://www.livelyharvestny.com,,,,Not Started,,,
High,4,NY,Flower Power Dispensers Maspeth,,Independent,Maspeth,7110 Grand Ave,11378,https://www.flowerpowerdispensers.com,,,,Not Started,,,
High,4,NY,Beleaf Medford,,Independent,Medford,262 Middle Island Rd,11763,https://beleafny.com/,,,,Not Started,,,
High,4,NY,Joint Venture Cannabis Dispensary,,Independent,Medford,2 Munsell Rd,11763,https://jointventureli.com,,,,Not Started,,,
High,4,NY,Bloom Brothers,,Independent,Menands,442 Broadway,12204,https://www.bloombrothers.com,,,,Not Started,,,
High,4,NY,Northern Lights Menards,,Independent,Menands,100 Broadway,12204,https://www.nldispo.com/,,,,Not Started,,,
High,4,NY,The Cannabis Place,,Independent,Middle Village,74-03 Metropolitan Ave,11379,https://thecannabisplace.org,,,,Not Started,,,
High,4,NY,Canna Planet Middletown,,Independent,Middletown,400 North Galleria Dr,10941,https://middletown.cannaplanet.com/,,,,Not Started,,,
High,4,NY,Middletown Indoor Cannabis Co.,,Independent,Middletown,844 Route-211,10941,https://www.middletownindoor.com,,,,Not Started,,,
High,4,NY,Canna Planet Monticello,,Independent,Monticello,73 Pleasant St,12701,https://cannaplanet.com,,,,Not Started,,,
High,4,NY,Elevate,,Independent,Mt Vernon,127 S Terrace Ave,10550,https://elevatecannabisny.com,,,,Not Started,,,
High,4,NY,Nuna Harvest,,Independent,Mt Vernon,696 Locust St,10552,https://nunaharvest.com,,,,Not Started,,,
High,4,NY,Buzzsaw Cannabis Company (Microbusiness),,Independent,New Hampton,5044 Route 17M,10958,https://buzzsawcannabis.com,,,,Not Started,,,
High,4,NY,County Road Cannabis,,Independent,New Hampton,1326 CR-12,10958,https://countyrdcannabis.com,,,,Not Started,,,
High,4,NY,The Village Green Dispensary,,Independent,New Hartford,New Hartford Shopping Ctr Suite 41,13413,https://www.villagegreendispensary.com,,,,Not Started,,,
High,4,NY,Big Gas Dispensary,,Independent,New Paltz,98 N Chestnut St,12561,https://biggasdispensary.com,,,,Not Started,,,
High,4,NY,Green Goat Cannabis Shoppe (Microbusiness),,Independent,New Paltz,3 Cherry Hill Rd,12561,https://www.greengoatgardensny.com/,,,,Not Started,,,
High,4,NY,HighLife Health,,Independent,New Rochelle,19 Huguenot St,10801,https://highlifehealth.co,,,,Not Started,,,
High,4,NY,The Cannabis Reserve,,Independent,New Rochelle,1307 North Ave,10804,https://www.thereservenewyork.com,,,,Not Started,,,
High,4,NY,AVA Flower Co,,Independent,New York,1280 1st Ave,10065,https://www.avaflowerco.com,,,,Not Started,,,
High,4,NY,Alta Dispensary,,Independent,New York,52 A Kenmare St,10012,https://altadispensary.nyc,,,,Not Started,,,
High,4,NY,Alto on Chambers,,Independent,New York,110 Chambers St,10007,https://altocanna.nyc,,,,Not Started,,,
High,4,NY,Bliss + Lex (Weedish LLC),,Independent,New York,128 E 86th St,10028,https://blissandlex.com,,,,Not Started,,,
High,4,NY,Blue Forest Farms Dispensary LLC,,Independent,New York,122 E 25th St,10010,https://blueforestfarmsdispensary.com,,,,Not Started,,,
High,4,NY,Broadway Strains,,Independent,New York,3858 Broadway,10032,https://broadwaystrains.com/,,,,Not Started,,,
High,4,NY,Bud & Honey,,Independent,New York,241 5th Ave,10016,https://budnhoneydispensary.com,,,,Not Started,,,
High,4,NY,CONBUD LLC,,Independent,New York,85 Delancey St,10002,https://conbud.com,,,,Not Started,,,
High,4,NY,Cannabis on Lex,,Independent,New York,459 Lexington Ave,10017,https://www.cannabisonlex.com,,,,Not Started,,,
High,4,NY,Cannadreams,,Independent,New York,862 9th Ave,10019,https://cannadreams.nyc,,,,Not Started,,,
High,4,NY,Carnegie Hill Cannabis Co.,,Independent,New York,1720 2nd Ave,10128,https://carnegiehillcannabis.com,,,,Not Started,,,
High,4,NY,Charlie Fox,,Independent,New York,719 7th Ave,10036,https://www.shopcharliefox.com,,,,Not Started,,,
High,4,NY,Chelsea Cannabis Co.,,Independent,New York,104 7th Ave,10011,https://chelseacannabis.co,,,,Not Started,,,
High,4,NY,Culture House,,Independent,New York,958 Sixth Ave,10001,https://culturehousenyc.com,,,,Not Started,,,
High,4,NY,DISPO Cannabis Club,,Independent,New York,588 4th Ave,11215,https://dispostore.com,,,,Not Started,,,
High,4,NY,Dagga LLC (dba Just A Little Higher Upper West Side),,Independent,New York,157 West 72nd St,10023,https://justalittlehigher.com/,,,,Not Started,,,
High,4,NY,Dagmar Cannabis SoHo,,Independent,New York,412 W Broadway,10012,https://dagmarcannabis.com,,,,Not Started,,,
High,4,NY,Elevate Soho Cannabis,,Independent,New York,481 Broadway,10013,https://elevatesohocannabis.com,,,,Not Started,,,
High,4,NY,Elevation HQ NY,,Independent,New York,701 8th Ave,10036,https://elevationhqnyc.com,,,,Not Started,,,
High,4,NY,Excited Unlimited,,Independent,New York,4441 Broadway,10040,https://unlimitedcannabis.net,,,,Not Started,,,
High,4,NY,Flower Power Dispensers,,Independent,New York,22 W 66th St,10023,https://www.flowerpowerdispensers.com,,,,Not Started,,,
High,4,NY,FlynnStoned Chelsea,,Independent,New York,206 8th Ave,10011,https://flynnstoned.com,,,,Not Started,,,
High,4,NY,FlynnStoned Midtown Manhattan,,Independent,New York,820 2nd Ave,10017,https://flynnstoned.com,,,,Not Started,,,
High,4,NY,Gotham Buds,,Independent,New York,248 W 125th St,10027,https://gothambudsny.com,,,,Not Started,,,
High,4,NY,Gotham CAURD LLC,,Independent,New York,3 E 3rd St,10003,https://gotham.nyc/,,,,Not Started,,,
High,4,NY,Gotham Chelsea,,Independent,New York,146 10th Ave,10011,https://www.gotham.nyc,,,,Not Started,,,
High,4,NY,Green Genius NYC,,Independent,New York,214 3rd Ave,10003,https://greengeniusnyc.com,,,,Not Started,,,
High,4,NY,Green Klub (Microbusiness),,Independent,New York,108 South St,10038,https://www.greenklubnyc.com,,,,Not Started,,,
High,4,NY,Happy Munkey,,Independent,New York,151 Dyckman St,10040,https://happymunkey.com,,,,Not Started,,,
High,4,NY,Hells Kitchen Cannabis Company (Microbusiness),,Independent,New York,356 W 40th St,10018,https://www.hkcc.nyc,,,,Not Started,,,
High,4,NY,Herbwell Cannabis Manhattan,,Independent,New York,519 Madison Ave,10022,https://www.herbwellcannabis.com,,,,Not Started,,,
High,4,NY,Hornbill,,Independent,New York,224 1st Ave,10009,https://hornbillnyc.com,,,,Not Started,,,
High,4,NY,Housing Works Cannabis Co NoMad,,Independent,New York,846 Sixth Ave,10001,https://hwcannabis.co,,,,Not Started,,,
High,4,NY,"Housing Works Cannabis, LLC",,Independent,New York,750 Broadway,10003,https://hwcannabis.co/,,,,Not Started,,,
High,4,NY,Indoor Treez,,Independent,New York,584 8th Ave,10018,https://www.indoortreez.net,,,,Not Started,,,
High,4,NY,Indoor Treez Fashion Avenue,,Independent,New York,474 7th Ave,10018,https://www.indoortreez.com,,,,Not Started,,,
High,4,NY,Just A Little Higher Murray Hill,,Independent,New York,698 2nd Ave,10016,https://justalittlehigher.com,,,,Not Started,,,
High,4,NY,KushKlub NYC,,Independent,New York,186 Orchard St,10002,https://kushklub.com,,,,Not Started,,,
High,4,NY,Le Flora Cannabis,,Independent,New York,111 Fulton St,10038,https://www.lefloracannabis.com,,,,Not Started,,,
High,4,NY,Liberty Buds,,Independent,New York,1115 1st Ave,10065,https://libertybudsnyc.com,,,,Not Started,,,
High,4,NY,Lighthouse Cannabis,,Independent,New York,381 Broadway,10013,https://www.lighthousecannabis.nyc,,,,Not Started,,,
High,4,NY,Maison Canal,,Independent,New York,386 Canal St,10013,https://maisoncanalny.com,,,,Not Started,,,
High,4,NY,Mary Jane Cannabis Co.,,Independent,New York,799 Lexington Ave,10065,https://maryjanecannabisco.com,,,,Not Started,,,
High,4,NY,Midnight Moon,,Independent,New York,1536 Amsterdam Ave,10031,https://www.midnightmoon.nyc,,,,Not Started,,,
High,4,NY,Mighty Lucky Inc,,Independent,New York,259 Bowery,10002,https://mighty-lucky.com,,,,Not Started,,,
High,4,NY,NY Cannabis Co.,,Independent,New York,743 9th Ave,10019,https://www.nycannabisco.com,,,,Not Started,,,
High,4,NY,NY Cannabis Co. 5th Ave,,Independent,New York,381 5th Avenue,10016,https://www.nycannabisco.com,,,,Not Started,,,
High,4,NY,NYCBUD Midtown,,Independent,New York,405 West 39th St,10018,https://www.nycbud.com,,,,Not Started,,,
High,4,NY,New Amsterdam NYC,,Independent,New York,245 W 14th St,10011,https://www.newamsterdam.nyc,,,,Not Started,,,
High,4,NY,Nicklz,,Independent,New York,797 8th Ave,10019,https://nicklzny.com,,,,Not Started,,,
High,4,NY,Nucleus Dispensary,,Independent,New York,1819 2nd Avenue,10128,https://nucleusdispensary.com,,,,Not Started,,,
High,4,NY,PRYZM Dispensary,,Independent,New York,15 Avenue B,10009,https://pryzmdispensary.com,,,,Not Started,,,
High,4,NY,"Paint, Puff 'n Peace",,Independent,New York,2119 Frederick Douglass Blvd,10026,,,,,Not Started,,,
High,4,NY,Pure Blossoms Cannabis,,Independent,New York,716 Amsterdam Ave,10025,https://pureblossomsnyc.com,,,,Not Started,,,
High,4,NY,Qube,,Independent,New York,1412 Broadway,10018,https://qubenyc.com,,,,Not Started,,,
High,4,NY,Rezidue,,Independent,New York,723 11th Ave,10019,https://rezidueny.com/,,,,Not Started,,,
High,4,NY,SOFACLUB East Village,,Independent,New York,229 Avenue B,10009,https://www.sofaclub.nyc,,,,Not Started,,,
High,4,NY,SOFACLUB Midtown,,Independent,New York,127 E 56th St,10022,https://www.sofaclub.nyc,,,,Not Started,,,
High,4,NY,"SOODAKS, INC (dba VERDI)",,Independent,New York,158 W 23rd St,10011,https://verdicannabis.com,,,,Not Started,,,
High,4,NY,Sky High Club,,Independent,New York,129 Avenue C,10009,https://www.skyhighclubnyc.com,,,,Not Started,,,
High,4,NY,Smacked Village,,Independent,New York,144 Bleecker St,10012,https://getsmacked.online/,,,,Not Started,,,
High,4,NY,Smiley Exotics,,Independent,New York,201 East 30th St,10016,https://www.smileyexoticsny.com,,,,Not Started,,,
High,4,NY,Sparkboro,,Independent,New York,704 W 177th St,10033,https://sparkborony.com,,,,Not Started,,,
High,4,NY,Stoops NYC,,Independent,New York,182 5th Ave,10010,https://stoopsnyc.com,,,,Not Started,,,
High,4,NY,Strains for Life Powered by Indoor,,Independent,New York,3547 Broadway,10031,https://www.strainsforlife.com,,,,Not Started,,,
High,4,NY,Superfly,,Independent,New York,57 W 86th St,10024,https://hellosuperfly.com,,,,Not Started,,,
High,4,NY,Sweetlife,,Independent,New York,1662 First Ave,10028,https://www.sweetlife.nyc,,,,Not Started,,,
High,4,NY,Terrapin Greens LLC (dba The Travel Agency Fifth Avenue),,Independent,New York,587 Fifth Ave,10017,https://www.thetravelagency.co,,,,Not Started,,,
High,4,NY,Tetra East Harlem,,Independent,New York,2152 3rd Ave,10035,https://www.tetraeastharlem.com,,,,Not Started,,,
High,4,NY,The Alchemy,,Independent,New York,302 8th Ave,10001,https://www.thealchemy.nyc,,,,Not Started,,,
High,4,NY,The Alchemy Flatiron,,Independent,New York,12 W 18th St,10011,https://www.thealchemy.nyc,,,,Not Started,,,
High,4,NY,The Emerald Dispensary Manhattan,,Independent,New York,1190 Lexington Ave,10028,https://emeralddispensary.nyc,,,,Not Started,,,
High,4,NY,The Flowery Chinatown,,Independent,New York,70 Canal St,10002,https://www.thefloweryny.com,,,,Not Started,,,
High,4,NY,The Flowery East Village,,Independent,New York,101 E 10th St,10003,https://www.thefloweryny.com,,,,Not Started,,,
High,4,NY,The Flowery Upper West Side,,Independent,New York,2465 Broadway,10025,https://www.thefloweryny.com,,,,Not Started,,,
High,4,NY,The Flowery West Village,,Independent,New York,112 Christopher St,10014,https://www.thefloweryny.com,,,,Not Started,,,
High,4,NY,The Herbal Care,,Independent,New York,1412 Lexington Ave,10128,https://thctheherbalcare.com/,,,,Not Started,,,
High,4,NY,The Sanctuary Garden,,Independent,New York,2610 Broadway Ave,10025,https://thesanctuarygarden.co,,,,Not Started,,,
High,4,NY,The Travel Agency SoHo,,Independent,New York,598 Broadway,10012,https://www.thetravelagency.co,,,,Not Started,,,
High,4,NY,The Travel Agency Union Square,,Independent,New York,835 Broadway,10003,https://www.thetravelagency.co,,,,Not Started,,,
High,4,NY,Torches NYC,,Independent,New York,12 East 42nd St,10017,https://torches.nyc,,,,Not Started,,,
High,4,NY,Urban Leaf,,Independent,New York,977 2nd Ave,10022,https://urbanleafny.com,,,,Not Started,,,
High,4,NY,Vereleaf,,Independent,New York,383 8th Ave,10001,https://Vereleaf.com,,,,Not Started,,,
High,4,NY,"WhiteboxTHC, LLC (dba Lenox Hill Cannabis Co.)",,Independent,New York,334 E 73rd St,10021,https://lenoxhillcannabis.com,,,,Not Started,,,
High,4,NY,Haze and Harvest,,Independent,Newark,6740 State Route 31 E,14513,https://hazeandharvest.com,,,,Not Started,,,
High,4,NY,Canna Planet Newburgh,,Independent,Newburgh,217 S Plank Rd,12550,https://cannaplanet.com,,,,Not Started,,,
High,4,NY,Cannabis Huts,,Independent,Newburgh,165 S Plank Rd,12550,https://cannabishuts.com,,,,Not Started,,,
High,4,NY,Green Leaf Cannabis & Wellness,,Independent,Newburgh,1400 Route 300,12550,https://greenleafny.co,,,,Not Started,,,
High,4,NY,Happy Tree,,Independent,Newburgh,99 NY-17K Suite 2,12550,https://www.happytree.love,,,,Not Started,,,
High,4,NY,Hudson Charisma,,Independent,Newburgh,496 Broadway,12550,https://dutchie.com/stores/hudson-charisma,,,,Not Started,,,
High,4,NY,Stellar Dispensary,,Independent,Newburgh,5440 Route 9W,12550,https://stellardispensary.com,,,,Not Started,,,
High,4,NY,The Flowery Newburgh,,Independent,Newburgh,142 Route 17K,12550,https://www.thefloweryny.com,,,,Not Started,,,
High,4,NY,The Haze Newburgh,,Independent,Newburgh,364 Broadway,12550,https://www.thehazeny.com,,,,Not Started,,,
High,4,NY,White Atmoss,,Independent,Newburgh,136 Lake St Ste 2,12550,https://whiteatmoss.com,,,,Not Started,,,
High,4,NY,Happy Times Cannabis Co. Niagara Falls,,Independent,Niagara Falls,7560 Niagara Falls Blvd,14304,https://happytimescannabis.com,,,,Not Started,,,
High,4,NY,LA FFOCA,,Independent,Niagara Falls,1618 18th St,14305,https://laffoca.com,,,,Not Started,,,
High,4,NY,The Flavor Factory,,Independent,Niagara Falls,7101 Packard Rd,14304,https://theflavorfactory.shop,,,,Not Started,,,
High,4,NY,Upstate Exotics,,Independent,Niagara Falls,9200 Niagara Falls Blvd,14304,https://upstateexotics716.com,,,,Not Started,,,
High,4,NY,FlynnStoned North Syracuse,,Independent,North Syracuse,"3711 Brewerton Rd, Ste 8-10",13212,https://flynnstoned.com,,,,Not Started,,,
High,4,NY,Herb-Z,,Independent,North Syracuse,109 E Taft Rd,13212,https://herb-z.com,,,,Not Started,,,
High,4,NY,Aroma Cannabis,,Independent,North Tonawanda,978 Payne Ave,14120,https://aromacannabisny.com,,,,Not Started,,,
High,4,NY,Love Nug,,Independent,North Tonawanda,3176 Niagara Falls Blvd,14120,https://www.shoplovenug.com,,,,Not Started,,,
High,4,NY,Satisfied Mind,,Independent,North Tonawanda,31 Webster St,14120,https://wnymind.com,,,,Not Started,,,
High,4,NY,Treehouse Cannabis,,Independent,Nyack,28 Route 59,10960,https://www.treehousecannabis.com/,Seth Marks,info@treehousecannabis.com,(845) 358-8733,Not Started,Founder/Owner. Family-owned. Uses DUTCHIE — direct competitor displacement opportunity. First licensed dispensary in Rockland County.,,
High,4,NY,Bayside Cannabis Dispensary,,Independent,Oakland Gardens,224-15 Union Tpke,11364,https://baysidecannabis.com,,,,Not Started,,,
High,4,NY,Green Flower Wellness Oakland Gardens,,Independent,Oakland Gardens,214-24 73rd Ave,11364,https://greenflowerwellness.com,,,,Not Started,,,
High,4,NY,Green Door Dispensary,,Independent,Ogdensburg,3748 State Highway 37,13669,http://thegreendoordispensary.com,,,,Not Started,,,
High,4,NY,Jupiter Cafe,,Independent,Olean,172 N Union St,14760,https://jupitercafeny.com,,,,Not Started,,,
High,4,NY,Dosha Farms LLC (dba Dosha),,Independent,Oneonta,76 Main St,13820,https://doshafarms.com,,,,Not Started,,,
High,4,NY,Township Valley Farm (Microbusiness),,Independent,Oneonta,"393 Main St, Unit #101",13820,,,,,Not Started,,,
High,4,NY,Up the River Cannabis Dispensary,,Independent,Ossining,34 Main St,10562,https://www.uptheriver914.com,,,,Not Started,,,
High,4,NY,FlynnStoned Oswego,,Independent,Oswego,143 George St,13126,https://flynnstoned.com,,,,Not Started,,,
High,4,NY,Flor de Fred,,Independent,Ozone Park,9605 Liberty Ave,11417,https://flordefred.com,,,,Not Started,,,
High,4,NY,Terp Bros Ozone Park,,Independent,Ozone Park,135-26 Crossbay Blvd,11417,https://www.terpbrosnyc.com,,,,Not Started,,,
High,4,NY,Cloud 914,,Independent,Peekskill,807 Washington St,10566,https://cloud914.com,,,,Not Started,,,
High,4,NY,Valley Greens,,Independent,Peekskill,939 Central Ave,10566,https://valleygreensny.com,,,,Not Started,,,
High,4,NY,Bloom Cannabis Dispensary,,Independent,Penn Yan,242 Lake Street Plaza,14527,https://bloomcannabisdispensary.com,,,,Not Started,,,
High,4,NY,Highland Botanicals,,Independent,Piermont,501 Route 9W,10968,https://highland-botanicals.com,,,,Not Started,"Piermont, NY — 5 min from Tappan. Very close to Dennis.",,
High,4,NY,The Herb Cave,,Independent,Plattsburgh,519 State Route 3,12901,https://theherbcave.com,,,,Not Started,,,
High,4,NY,DeMarino's Dispensary,,Independent,Port Jervis,110 Jersey Ave,12771,https://demarinos.com,,,,Not Started,,,
High,4,NY,Easy Jay's Cannabis,,Independent,Port Jervis,279 East Main St,12771,https://easyjayscannabis.com,,,,Not Started,,,
High,4,NY,The Firehaus NY,,Independent,Potsdam,7479 US Highway 11,13676,https://www.thefirehausny.com,,,,Not Started,,,
High,4,NY,"The Highest Peak, LLC",,Independent,Potsdam,25 Market St,13676,https://www.highestpeakny.com,,,,Not Started,,,
High,4,NY,Black Market Canna Co LLC,,Independent,Poughkeepsie,89 Main St,12601,https://www.blackmarket420.com,,,,Not Started,,,
High,4,NY,Cannabis Huts Poughkeepsie,,Independent,Poughkeepsie,4-10 Taft Ave,12603,https://cannabishuts.com,,,,Not Started,,,
High,4,NY,Dutchess Roots,,Independent,Poughkeepsie,2615 South Rd,12601,https://www.dutchessroots.com,,,,Not Started,,,
High,4,NY,Grounded,,Independent,Poughkeepsie,3665 Albany Post Rd,12601,https://hvgrounded.com,,,,Not Started,,,
High,4,NY,Purple Plains,,Independent,Pound Ridge,32 Westchester Ave,10576,https://purpleplains.com,,,,Not Started,,,
High,4,NY,Salmon River Cannabis Company,,Independent,Pulaski,3808 State Route 13,13142,https://salmonrivercannabis.com,,,,Not Started,,,
High,4,NY,Green Flower Wellness Floral Park,,Independent,Queens,270-01 Hillside Ave,11064,https://greenflowerwellness.com,,,,Not Started,,,
High,4,NY,Just a Little Higher (Delivery Only),,Independent,Queens,,,https://justalittlehigher.com,,,,Not Started,,,
High,4,NY,Terp Bros,,Independent,Queens,3610 Ditmars Blvd,11105,https://www.terpbrosnyc.com/,,,,Not Started,,,
High,4,NY,ZenZest Queens,,Independent,Queens,27206 Union Tpke,11040,https://zenzest.com,,,,Not Started,,,
High,4,NY,Dankley,,Independent,Queens Village,219-17 Hillside Ave,11427,https://dankley.com,,,,Not Started,,,
High,4,NY,Fumi Dispensary,,Independent,Queens Village,217-12 Hempstead Ave,11429,https://dutchie.com/dispensary/fumi-dispensary,,,,Not Started,,,
High,4,NY,Victory Road Farm (Microbusiness),,Independent,Red Creek,556 Victory Rd,13143,https://www.victoryroadfarm.com,,,,Not Started,,,
High,4,NY,Lofty Supply,,Independent,Red Hook,7536 N Broadway,12571,https://loftysupply.com/shop,,,,Not Started,,,
High,4,NY,Upstate Pines,,Independent,Red Hook,7345 South Broadway,12571,https://www.upstatepines.com,,,,Not Started,,,
