id,name,slug,type,address1,address2,city,state,zip,country,latitude,longitude,distance_mi,phone,website,email,followers,license,overall_rating,rating_count,review_count,quality_rating,service_rating,atmosphere_rating,about,hours,feature_tier,is_open,delivery_enabled,pickup_enabled,preorder_enabled,active_deals_count,latest_deal_title,latest_deal_discount,leafly_url,timezone,payment_methods,amenities,detail_phone,detail_website,detail_email,review_count_detail
366496,Joint Effort,joint-effort,MED,,,South Portland,ME,04106,US,43.6297084,-70.2807827,258.7,207-808-9615,,Daniel@jointeffort.info,,,5,,5,,,,,,pro,true,true,false,false,6,$60 Dollar Flower Half OZ!,40% off,https://www.leafly.com/dispensary-info/joint-effort,America/New_York,,,207-808-9615,,Daniel@jointeffort.info,
343899,Silver Therapeutics - Berwick,silver-therapeutics---berwick,REC,60 ME-236,,Berwick,ME,03901,US,43.2623579,-70.8484836,220.6,207-715-0165,,hello@agtherapeutics.com,,,4.9,,37,,,,,,pro,true,false,true,true,0,,,https://www.leafly.com/dispensary-info/silver-therapeutics---berwick,America/New_York,,,207-715-0165,,hello@agtherapeutics.com,
367783,Theory Wellness - Kittery,theory-wellness-kittery,REC,8 Dexter Ln.,Suite 8,Kittery,ME,03904,US,43.1169738,-70.7293456,218.5,,,feedback@theorywellness.org,,,4.1,,16,,,,,,pro,true,false,true,true,0,,,https://www.leafly.com/dispensary-info/theory-wellness-kittery,America/New_York,,,,,feedback@theorywellness.org,
302148,Your Green Thumb Caregivers,your-green-thumb,MED,99 State Rd,#2,Kittery,ME,03904,US,43.0923995,-70.7481161,216.7,207-703-0130,,yourgreenthumb@yahoo.com,,,4.7,,109,,,,,,pro,true,false,true,true,0,,,https://www.leafly.com/dispensary-info/your-green-thumb,America/New_York,,,207-703-0130,,yourgreenthumb@yahoo.com,
386557,Reverie 73 - Gloucester,reverie-73-gloucester,REC,73 Essex Avenue,,Gloucester,MA,01930,US,42.6117982,-70.6807913,200.3,978-248-8585,,hello@reverie73.com,,,5,,22,,,,,,pro,true,false,true,true,9,Treeworks Hummies - 2 for $60 | TAX INCLUDED,$60.00 sale,https://www.leafly.com/dispensary-info/reverie-73-gloucester,America/New_York,,,978-248-8585,,hello@reverie73.com,
316867,Fine Fettle Dispensary - Rowley (MED & REC),fine-fettle-dispensary---rowley,MED & REC,116 Newburyport Turnpike,,Rowley,MA,01969,US,42.7008409,-70.911942,193.8,,,rowley@finefettle.com,,,4.8,,114,,,,,,pro,true,false,true,true,4,Jeeter | All 1g AIO Vapes 2 for $60,$60.00 sale,https://www.leafly.com/dispensary-info/fine-fettle-dispensary---rowley,America/New_York,,,,,rowley@finefettle.com,
337383,The Piping Plover,the-piping-plover,REC,10 Main Street,,Wellfleet,MA,02667,US,41.9374584,-70.02201749999999,213,,,info@pipingplover.co,,,5,,11,,,,,,pro,true,false,true,true,0,,,https://www.leafly.com/dispensary-info/the-piping-plover,America/New_York,,,,,info@pipingplover.co,
317815,Hennep,hennep--coming-soon-,REC,246 Commercial Street,,Provincetown,MA,02657,US,42.05059120000001,-70.1879295,207,7745935172,,info@hennep.com,,,5,,2,,,,,,pro,true,false,true,true,0,,,https://www.leafly.com/dispensary-info/hennep--coming-soon-,America/New_York,,,7745935172,,info@hennep.com,
386547,Reverie 73 - Beverly,reverie-73-beverly,REC,350 Rantoul Street,,Beverly,MA,01915,US,42.5523997,-70.8828769,189.4,978-248-8585,,hello@reverie73.com,,,5,,13,,,,,,pro,true,false,true,true,9,Treeworks Hummies - 2 for $60 | TAX INCLUDED,$60.00 sale,https://www.leafly.com/dispensary-info/reverie-73-beverly,America/New_York,,,978-248-8585,,hello@reverie73.com,
318086,Salty Farmers,salty-farmers,REC,182 Brackett Road,,Eastham,MA,02651,US,41.8549079,-69.9838012,213.5,,,info@saltyfarmers.com,,,4.9,,59,,,,,,pro,true,false,true,true,1,3 for $75 Hummies Edibles,$75.00 sale,https://www.leafly.com/dispensary-info/salty-farmers,America/New_York,,,,,info@saltyfarmers.com,
381436,AMP Cannabis Dispensary - Salem,amp-salem,REC,297 Highland Ave,,Salem,MA,01970,US,42.5017808,-70.92403120000002,185.7,9782025015,,info@ampma.org,,,4.1,,12,,,,,,pro,true,false,true,true,0,,,https://www.leafly.com/dispensary-info/amp-salem,America/New_York,,,9782025015,,info@ampma.org,
340916,Terpene Journey,terpene-journey,REC,430 Paradise Road,,Swampscott,MA,01907,US,42.4814348,-70.9037331,185.9,,,contactus@terpenejourney.com,,,5,,5,,,,,,pro,true,false,false,false,0,,,https://www.leafly.com/dispensary-info/terpene-journey,America/New_York,,,,,contactus@terpenejourney.com,
383410,Seaside Cannabis Company,seaside-cannabis-company,REC,14 Lots Hollow Road,,Orleans,MA,02653,US,41.7782601,-69.9995349,211.5,,,,,,5,,2,,,,,,pro,true,false,false,false,0,,,https://www.leafly.com/dispensary-info/seaside-cannabis-company,America/New_York,,,7745612965,,info@seasidecannabis.com,
389415,The Haven Center - Brewster,the-haven-center-brewster,REC,4018 Main St,,Brewster,MA,02631,US,41.7755759,-70.01152979999999,210.8,,,,,,,,,,,,,,pro,,false,false,false,0,,,https://www.leafly.com/dispensary-info/the-haven-center-brewster,America/New_York,,,,,,
386627,Local Cannabis Company- Swampcott (Rec),local-cannabis-company-swampcott,REC,16 New Ocean St,,Swampscott,MA,01907,US,42.4694022,-70.9229376,184.6,,,,,,5,,30,,,,,,pro,true,false,true,true,4,Vapes / 3 for $66,$66.00 sale,https://www.leafly.com/dispensary-info/local-cannabis-company-swampcott,America/New_York,,,,,rquinton@localcanco.com,
366597,Nova Farms - Dracut,nova-farms-dracut,REC,1274 Merrimack Ave Dracut,,Dracut,MA,01826,US,42.667838,-71.241675,178.9,,,,,,4.3,,30,,,,,,pro,true,false,true,true,0,,,https://www.leafly.com/dispensary-info/nova-farms-dracut,America/New_York,,,3515006467,,dracut@novafarms.com,
316810,GraniteLeaf Cannabis – Merrimack,prime-alternative-treatment-center,MED,380 Daniel Webster Highway,,Merrimack,NH,03054,US,42.8520165,-71.4925011,177.4,,,,,,4.9,,3,,,,,,pro,true,false,false,false,0,,,https://www.leafly.com/dispensary-info/prime-alternative-treatment-center,America/New_York,,,603-262-5035,,info@graniteleaf.com,
338439,Reverie 73 - Lowell,reverie-73,REC,1148 Bridge St,,Lowell,MA,01850,US,42.6631968,-71.3038696,176.2,,,,,,5,,17,,,,,,pro,true,false,true,true,9,Treeworks Hummies - 2 for $60 | TAX INCLUDED,$60.00 sale,https://www.leafly.com/dispensary-info/reverie-73,America/New_York,,,9782488585,,hello@reverie73.com,
340712,Smyth Cannabis Co.,smyth-cannabis-co-,REC,683 Rogers St.,,Lowell,MA,01852,US,42.6304849,-71.2805545,175.8,,,,,,4.6,,33,,,,,,pro,true,false,true,true,0,,,https://www.leafly.com/dispensary-info/smyth-cannabis-co-,America/New_York,,,,,marketing@smythcannabis.com,
362951,Mayflower - Lowell,mayflower---lowell,REC,450 Chelmsford St.,Unit 7,Lowell,MA,01851,US,42.6277026,-71.32017019999999,174,,,,,,4.4,,22,,,,,,pro,true,false,true,true,0,,,https://www.leafly.com/dispensary-info/mayflower---lowell,America/New_York,,,508-356-6600,,infolowell@mayflowermass.com,
303448,Cannabist - Lowell (Adult-Use),patriot-care-lowell--recreational-,REC,70 Industrial Ave East,,Lowell,MA,01852,US,42.6146128,-71.3165581,173.6,,,,,,3.6,,283,,,,,,pro,true,false,true,true,3,"BOGO 60% House Brands - Includes 777, S&S, Amber,",60% off,https://www.leafly.com/dispensary-info/patriot-care-lowell--recreational-,America/New_York,,,,,info@patriotcare.org,
141738,Cannabist - Lowell (Medical),patriot-care---lowell-,MED,70 Industrial Ave East,,Lowell,MA,01852,US,42.614669,-71.3166522,173.6,,,,,,4.4,,990,,,,,,pro,true,false,true,true,3,"BOGO 60% House Brands - Includes 777, S&S, Amber,",60% off,https://www.leafly.com/dispensary-info/patriot-care---lowell-,America/New_York,,,,,info@gocannabist.com,
386959,Chelsea Bud,chelsea-bud,,267 Broadway,,Chelsea,MA,02150,US,42.3907568,-71.0373192,176.9,,,,,,5,,3,,,,,,pro,true,false,true,true,1,Build your ounce for $160.00,$160.00 sale,https://www.leafly.com/dispensary-info/chelsea-bud,America/New_York,,,,,alexi@chelseabud.com,
357505,The Heritage Club - Boston Recreational Weed Dispensary,the-heritage-club,REC,116 Cambridge Street,Rear Building,Charlestown,MA,02129,US,42.38214,-71.07953,174.7,,,,,,5,,4,,,,,,pro,true,false,true,true,1,New Customers Get 1/8th House Brand for $20,$20.00 sale,https://www.leafly.com/dispensary-info/the-heritage-club,America/New_York,,,,,info@heritageclubthc.com,
374256,Quincy Cannabis Co,quincy-cannabis-co-,REC,715 Washington Street,,Quincy,MA,02169,US,42.2449013,-70.9721112,175,,,,,,4.8,,12,,,,,,pro,true,false,true,true,8,2 for $20 + 3 for $25 | Mix & Match 100mg Gummies,$20.00 sale,https://www.leafly.com/dispensary-info/quincy-cannabis-co-,America/New_York,,,6173024195,,sales@quincycannabis.co,
386236,Kush Groove Dispensary - Cambridge,kush-groove-cambridge,REC,701 Mt. Auburn St.,,Cambridge,MA,02138,US,42.3750897,-71.1494896,171.4,,,,,,5,,3,,,,,,pro,true,false,true,true,5,Mix & Match 1g Pre Rolls Buy 28 save 25%,25% off,https://www.leafly.com/dispensary-info/kush-groove-cambridge,America/New_York,,,18449333626,,info@kushgroove.com,
382854,Union Twist (Allston),union-twist-allston-,REC,259 Cambridge St.,,Allston,MA,02134,US,42.3577357,-71.1280937,171.7,,,,,,4.5,,10,,,,,,pro,true,false,true,true,0,,,https://www.leafly.com/dispensary-info/union-twist-allston-,America/New_York,,,6177871807,,info@uniontwist.com,
370342,Zyp Run - Fast Boston Delivery,zyp-run,REC,1170 Morrissey Blvd.,,Dorchester,MA,02122,US,42.2859521,-71.0417445,173.1,,,,,,5,,14,,,,,,pro,true,true,false,false,0,,,https://www.leafly.com/dispensary-info/zyp-run,America/New_York,,,6174050429,,support@zyprun.com,
300817,Mayflower Medicinals - Boston,mayflower-medicinals,MED,230 Harvard Ave,,Allston,MA,02134,US,42.3490642,-71.1296036,171.3,,,,,,4.5,,324,,,,,,pro,true,false,true,true,0,,,https://www.leafly.com/dispensary-info/mayflower-medicinals,America/New_York,,,,,infoallston@mayflowermedicinals.com,
367223,Mayflower - Boston,mayflower-boston,REC,230 Harvard Ave,,Allston,MA,02134,US,42.3490667,-71.12960869999999,171.3,,,,,,,,,,,,,,pro,true,false,true,false,0,,,https://www.leafly.com/dispensary-info/mayflower-boston,America/New_York,,,508-356-6600,,infoboston@mayflowermass.com,
388100,CastleLeaf,castleleaf,REC,100 Leo M. Birmingham Parkway,,Brighton,MA,02135,US,42.3586536,-71.1466851,170.9,,,,,,,,,,,,,,pro,true,false,true,true,5,Live Resin Gummies 1 for $20 2 for $21,$21.00 sale,https://www.leafly.com/dispensary-info/castleleaf,America/New_York,,,,,info@castleleaf.com,
